Amplicon,Module,Dist,Time,Start,End,CorrectlyPredicted
1,mlpy,14727.7039629,27919,0,19158,Incorrect
1,mlpy_sub,51.0237784632,24623,129,376,Correct
1,ftw,15358.7052722,477878,0,19158,Incorrect
1,ucr,2.73157809111,28677,129,129,Correct
1,pydtw,null,34075,0,19158,Incorrect
1,cdtw,16103.0918283,12082,0,19158,Incorrect
1,dtw,0.758807973767,896617,0,19158,Incorrect
2,mlpy,14685.5088712,28096,0,19158,Incorrect
2,mlpy_sub,45.5586270922,24560,1831,2078,Correct
2,ftw,15165.3711465,436441,0,19158,Incorrect
2,ucr,3.42369289138,192300,1831,1831,Correct
2,pydtw,null,33933,0,19158,Incorrect
2,cdtw,15887.2422934,11726,0,19158,Incorrect
2,dtw,0.756633977596,983239,0,19158,Incorrect
3,mlpy,14714.455699,28656,0,19158,Incorrect
3,mlpy_sub,43.4835765288,24401,3528,3777,Correct
3,ftw,15109.2144489,580198,0,19158,Incorrect
3,ucr,3.07370864412,298859,3528,3528,Correct
3,pydtw,null,34511,0,19158,Incorrect
3,cdtw,16228.8630095,11806,0,19158,Incorrect
3,dtw,0.758125390229,517942,0,19158,Incorrect
4,mlpy,14728.7678767,28183,0,19158,Incorrect
4,mlpy_sub,57.5591242897,24701,5218,5467,Correct
4,ftw,15324.6142879,422778,0,19158,Incorrect
4,ucr,2.51594527515,301877,5218,5218,Correct
4,pydtw,null,34547,0,19158,Incorrect
4,cdtw,16142.2482681,11266,0,19158,Incorrect
4,dtw,0.758862789256,304247,0,19158,Incorrect
5,mlpy,14667.5919212,28264,0,19158,Incorrect
5,mlpy_sub,41.0220516378,24636,6809,7058,Correct
5,ftw,15018.4417677,417118,0,19158,Incorrect
5,ucr,3.19349041318,379361,6809,6809,Correct
5,pydtw,null,33409,0,19158,Incorrect
5,cdtw,15785.7054622,11063,0,19158,Incorrect
5,dtw,0.755710851726,544257,0,19158,Incorrect
6,mlpy,14683.5392337,28527,0,19158,Incorrect
6,mlpy_sub,69.1728839528,24798,9038,9259,Correct
6,ftw,15568.3388968,383574,0,19158,Incorrect
6,ucr,6.43118978368,797620,9037,9037,Correct
6,pydtw,null,33843,0,19158,Incorrect
6,cdtw,15870.7374383,11253,0,19158,Incorrect
6,dtw,0.756532496973,284137,0,19158,Incorrect
7,mlpy,14617.4945604,28150,0,19158,Incorrect
7,mlpy_sub,66.2065564943,24583,10079,10328,Correct
7,ftw,15336.4781822,463730,0,19158,Incorrect
7,ucr,3.36178571604,586579,10079,10079,Correct
7,pydtw,null,34058,0,19158,Incorrect
7,cdtw,15869.6972101,11558,0,19158,Incorrect
7,dtw,0.753129710977,853827,0,19158,Incorrect
8,mlpy,14746.7527064,28136,0,19158,Incorrect
8,mlpy_sub,38.3088355801,24539,11916,12165,Correct
8,ftw,15170.362681,447723,0,19158,Incorrect
8,ucr,2.99882406012,595849,11916,11916,Correct
8,pydtw,null,34794,0,19158,Incorrect
8,cdtw,16268.7468155,11631,0,19158,Incorrect
8,dtw,0.759789412458,776909,0,19158,Incorrect
9,mlpy,14690.5223417,28258,0,19158,Incorrect
9,mlpy_sub,42.2871319183,24625,13558,13807,Correct
9,ftw,15409.8072604,418666,0,19158,Incorrect
9,ucr,3.30625464731,733331,13558,13558,Correct
9,pydtw,null,33978,0,19158,Incorrect
9,cdtw,16156.8699349,27711,0,19158,Incorrect
9,dtw,0.756892284081,988142,0,19158,Incorrect
10,mlpy,14685.8343776,28230,0,19158,Incorrect
10,mlpy_sub,33.4922917634,24695,15180,15426,Correct
10,ftw,15234.8972799,427083,0,19158,Incorrect
10,ucr,2.72723173685,709474,15180,15180,Correct
10,pydtw,null,33940,0,19158,Incorrect
10,cdtw,15957.8545303,11352,0,19158,Incorrect
10,dtw,0.756650748499,267391,0,19158,Incorrect
11,mlpy,14655.7696252,28237,0,19158,Incorrect
11,mlpy_sub,73.7705338865,24660,16822,17071,Correct
11,ftw,15043.9333011,459783,0,19158,Incorrect
11,ucr,3.59469319179,883920,16822,16822,Correct
11,pydtw,null,33288,0,19158,Incorrect
11,cdtw,15627.9393809,11670,0,19158,Incorrect
11,dtw,0.755101737606,271210,0,19158,Incorrect
