Time,RejRate,AcceptRate
6.129,0.0,1.0
5.925,0.0,1.0
0.074,0.0,1.0
6.04,0.0,1.0
5.131,0.0,1.0
5.053,0.0,1.0
5.07,0.0,1.0
5.884,0.0,1.0
5.008,0.0,1.0
7.982,0.0,1.0
5.923,0.0,1.0
5.835,0.0,1.0
6.941,0.0,1.0
5.072,0.0,1.0
5.794,0.0,1.0
6.821,0.0,1.0
5.925,0.0,1.0
5.884,0.0,1.0
5.812,0.0,1.0
6.106,0.0,1.0
5.965,0.0,1.0
5.065,0.0,1.0
7.955,0.0,1.0
5.129,0.0,1.0
5.089,0.0,1.0
5.242,0.0,1.0
5.865,0.0,1.0
6.81,0.0,1.0
4.782,0.0,1.0
5.026,0.0,1.0
5.812,0.0,1.0
5.096,0.0,1.0
6.075,0.0,1.0
5.957,0.0,1.0
5.936,0.0,1.0
7.976,0.0,1.0
6.894,0.0,1.0
5.018,0.0,1.0
7.881,0.0,1.0
4.999,0.0,1.0
5.554,0.0,1.0
6.153,0.0,1.0
5.075,0.0,1.0
5.806,0.0,1.0
5.886,0.0,1.0
0.0,0.0,1.0
5.053,0.0,1.0
5.004,0.0,1.0
5.01,0.0,1.0
5.855,0.0,1.0
5.061,0.0,1.0
5.063,0.0,1.0
7.084,0.0,1.0
5.083,0.0,1.0
5.032,0.0,1.0
5.218,0.0,1.0
5.01,0.0,1.0
5.855,0.0,1.0
5.022,0.0,1.0
5.91,0.0,1.0
5.246,0.0,1.0
5.092,0.0,1.0
5.01,0.0,1.0
4.751,0.0,1.0
5.172,0.0,1.0
5.246,0.0,1.0
5.061,0.0,1.0
5.884,0.0,1.0
5.014,0.0,1.0
6.911,0.0,1.0
5.063,0.0,1.0
5.077,0.0,1.0
5.94,0.0,1.0
5.288,0.0,1.0
5.192,0.0,1.0
5.162,0.0,1.0
5.164,0.0,1.0
5.104,0.0,1.0
5.027,0.0,1.0
5.005,0.0,1.0
5.034,0.0,1.0
5.005,0.0,1.0
4.999,0.0,1.0
5.009,0.0,1.0
6.089,0.0,1.0
5.141,0.0,1.0
5.208,0.0,1.0
5.934,0.0,1.0
6.087,0.0,1.0
5.983,0.0,1.0
5.983,0.0,1.0
5.306,0.0,1.0
5.053,0.0,1.0
5.947,0.0,1.0
5.002,0.0,1.0
5.232,0.0,1.0
5.037,0.0,1.0
5.248,0.0,1.0
5.04,0.0,1.0
4.272,0.0,1.0
407.9,0.0,1.0
407.974,0.0,1.0
412.868,0.0,1.0
412.992,0.0,1.0
412.417,0.0,1.0
412.922,0.0,1.0
413.177,0.0,1.0
412.461,0.0,1.0
412.989,0.0,1.0
412.904,0.0,1.0
412.91,0.0,1.0
412.961,0.0,1.0
412.963,0.0,1.0
413.652,0.0,1.0
412.983,0.0,1.0
412.44,0.0,1.0
412.857,0.0,1.0
411.85,0.0,1.0
412.926,0.0,1.0
412.996,0.0,1.0
412.676,0.0,1.0
412.88,0.0,1.0
412.791,0.0,1.0
412.539,0.0,1.0
412.461,0.0,1.0
412.478,0.0,1.0
412.512,0.0,1.0
412.905,0.0,1.0
412.442,0.0,1.0
412.413,0.0,1.0
412.407,0.0,1.0
412.908,0.0,1.0
412.84,0.0,1.0
412.549,0.0,1.0
413.108,0.0,1.0
413.146,0.0,1.0
413.118,0.0,1.0
413.158,0.0,1.0
413.146,0.0,1.0
412.708,0.0,1.0
412.418,0.0,1.0
410.415,0.0,1.0
412.961,0.0,1.0
413.142,0.0,1.0
413.206,0.0,1.0
412.953,0.0,1.0
412.941,0.0,1.0
412.902,0.0,1.0
413.132,0.0,1.0
412.937,0.0,1.0
413.148,0.0,1.0
412.988,0.0,1.0
413.007,0.0,1.0
412.91,0.0,1.0
411.819,0.0,1.0
413.072,0.0,1.0
412.914,0.0,1.0
412.972,0.0,1.0
412.94,0.0,1.0
412.958,0.0,1.0
412.927,0.0,1.0
412.963,0.0,1.0
412.977,0.0,1.0
413.188,0.0,1.0
413.064,0.0,1.0
412.6,0.0,1.0
412.57,0.0,1.0
412.899,0.0,1.0
413.454,0.0,1.0
413.224,0.0,1.0
412.975,0.0,1.0
